,id,role_0,role_1,role_2
723,94104,4133,329,1895
724,8021,2580,635,77
725,10097,1517,380,60
726,55197,2941,155,25
727,8087,6745,2567,447
728,55833,148,28,0
729,6777,2556,704,89
730,79892,515,32,3
731,51379,471,0,0
732,81704,1147,183,8
733,27254,15,0,0
734,3868,1040,39,28
735,3889,1690,129,34
736,10884,1504,480,578
737,84311,257,91,62
738,249,160,3,0
739,51474,1968,720,146
740,525,145,50,0
741,3329,3743,2801,562
742,6613,1586,771,59
743,84842,191,30,1
744,7314,1949,664,69
745,29966,2592,495,100
746,170082,1089,205,8
747,10870,738,13,3
748,79465,153,6,1
749,1031,163,0,2
750,51129,126,5,0
751,57379,1186,76,5
752,5223,2241,298,38
753,71,7908,3809,306
754,93661,41,0,1
755,20403,600,46,6
756,1622,626,80,1
757,10970,4552,806,38
758,7430,1240,289,40
759,57716,349,1,4
760,3032,1088,93,14
761,79180,1388,60,10
762,202051,185,0,3
763,386675,3935,9336,480
764,10716,30,0,1
765,9641,10759,16650,693
766,1287,1262,45,6
767,22918,230,0,0
768,3915,1110,37,4
769,3912,99,0,0
770,6262,242,0,2
771,5500,1563,876,116
772,580,8008,8270,453
773,4436,4223,1635,190
774,2617,2847,821,91
775,7511,2429,480,40
776,4172,1286,530,45
777,7415,16538,39271,1662
778,25839,375,41,1
779,5152,486,87,12
780,8270,340,46,3
781,27339,2656,1187,840
782,84687,459,25,8
783,5499,2184,1843,155
784,7525,4356,2594,115
785,51134,171,21,0
786,90525,22,0,0
787,1741,1327,745,31
788,8914,440,109,12
789,5111,2776,2583,445
790,64960,1205,370,230
791,51253,569,175,79
792,4088,9399,18777,685
793,4774,1218,30,20
794,5048,1508,553,38
795,10939,2372,253,45
796,54477,1273,115,12
797,27346,1266,27,0
798,55379,2066,262,188
799,10933,1760,198,33
800,3837,2969,1761,355
801,10905,385,11,1
802,11253,49,7,2
803,51747,5200,1440,1774
804,6628,2586,1993,838
805,50628,2526,2135,711
806,9820,16616,37928,2761
807,871,3467,633,62
808,229841,1311,620,18
809,116447,240,20,0
810,8290,1108,479,84
811,5335,1082,1179,89
812,5921,2696,873,91
813,85302,1728,409,103
814,84254,768,14,3
815,5562,5027,3619,127
816,125988,71,13,0
817,346157,136,13,0
818,55729,509,70,5
819,7532,4481,5814,735
820,9516,605,21,3
821,23327,4369,3929,77
822,9618,844,337,25
823,10392,1351,74,13
824,4174,9708,7048,1203
825,1290,9,0,0
826,780,785,72,3
827,5450,172,64,1
828,353332,1194,216,100
829,7529,3076,1900,168
830,3831,935,147,25
831,4168,488,48,2
832,6837,94,10,12
833,64753,771,421,22
834,79165,937,80,4
835,84437,16,0,0
836,2342,85,17,0
837,30012,1109,739,25
838,79759,868,48,1
839,5208,340,33,5
840,51538,1184,60,2
841,63875,385,88,88
842,92181,25,0,0
843,387867,450,0,5
844,9798,448,43,3
845,8906,387,17,0
846,26270,12516,35127,1329
847,55573,529,45,6
848,6238,1520,209,8
849,728113,266,3,3
850,145226,43,0,2
851,222642,22,5,0
852,4985,93,20,0
853,5578,1924,1045,94
854,1312,704,33,2
855,4129,533,202,59
856,6604,1985,264,127
857,23542,2874,1137,32
858,6590,42,7,0
859,55697,1339,230,7
860,80778,168,26,6
861,5894,2009,662,79
862,598,2443,1195,59
863,4122,503,44,0
864,1107,1496,467,54
865,5997,550,147,6
866,23354,935,51,21
867,5204,710,376,24
868,79722,19,0,0
869,57805,1475,237,49
870,56946,349,0,1
871,5094,8686,2348,1497
872,6203,4178,2682,1451
873,23281,5090,14001,136
874,1650,1882,508,245
875,3703,674,15,4
876,1019,6712,3943,237
877,862,2490,985,58
878,171482,200,43,1
879,1659,5205,1896,1972
880,51503,2050,460,682
881,672,12895,36290,1392
882,5630,248,14,5
883,192666,712,36,14
884,3336,3093,1523,110
885,5931,1404,815,127
886,2316,9368,12198,905
887,23524,3748,2423,947
888,4361,4524,1377,228
889,2237,1181,45,3
890,3885,3764,8806,171
891,2887,3260,403,46
892,5626,1199,1958,42
893,27327,414,53,3
894,53981,1070,153,43
895,6883,2618,612,170
896,84823,1347,86,9
897,283234,913,163,19
898,1630,463,67,11
899,36,104,28,15
900,549,33,7,5
901,7417,6569,2957,802
902,8662,5706,1255,728
903,126328,101,2,52
904,4700,616,115,349
905,27303,339,4,8
906,51335,640,19,3
907,9189,1213,366,8
908,9533,7873,5173,1086
909,24812,249,0,3
910,811,6183,2324,186
911,5159,602,247,33
912,4040,1383,139,5
913,8260,1941,566,15
914,1499,12742,15202,820
915,5494,1908,328,17
916,3275,1218,351,12
917,6256,921,532,36
918,10892,1405,94,14
919,8792,730,20,3
920,5826,80,1,0
921,2547,2820,1284,189
922,54623,2055,275,53
923,27005,2578,727,41
924,57673,152,6,0
925,10138,454,29,9
926,4638,2431,278,33
927,58506,865,45,3
928,9448,882,130,8
929,90850,194,0,1
930,55696,1431,327,727
931,1514,462,21,2
932,51213,4047,967,92
933,57187,5158,2761,1799
934,3480,1229,145,30
935,55816,662,54,1
936,3718,522,194,9
937,3932,1755,1072,224
938,54715,216,45,10
939,23201,704,30,14
940,4118,387,133,1
941,51338,11,0,0
942,6729,997,44,4
943,9919,1408,378,58
944,8218,2590,152,39
945,137492,862,8,3
946,23028,8074,13455,554
947,3417,876,38,12
948,387082,969,235,24
949,79867,1008,579,38
950,147007,499,20,3
951,283989,774,57,4
952,440295,3030,4925,71
953,5708,2983,1329,377
954,6210,3520,2172,1364
955,11339,1875,1456,58
956,114928,1679,895,21
957,55700,247,10,2
958,10482,16816,145327,1570
959,79026,3847,630,97
960,55689,370,12,1
961,8848,3380,2523,72
962,58477,920,0,14
963,23636,3251,2042,95
964,3836,3585,1180,100
965,5359,909,63,19
966,153090,748,58,5
967,1387,2451,2841,244
968,2623,3749,1501,74
969,51324,2797,1715,60
970,10215,86,3,0
971,30812,40,0,0
972,995,3442,177,36
973,7534,5486,9920,750
974,8697,3691,2469,156
975,79001,192,50,1
976,5728,7068,5600,264
977,6191,10440,9172,4186
978,7804,730,42,5
979,84514,103,9,0
980,7879,1892,572,78
981,57403,559,24,7
982,22981,3955,5223,194
983,26058,1677,190,27
984,11156,1003,298,11
985,55735,1167,174,12
986,22955,880,137,16
987,8467,6231,3978,499
988,6944,759,64,15
989,11077,1339,1494,39
990,9744,152,6,2
991,25978,1638,376,47
992,115416,98,0,3
993,51510,432,62,9
994,7644,477,0,0
995,5250,8727,6729,2318
996,6135,10767,9372,4626
997,2055,1124,98,5
998,57447,209,15,0
999,30811,289,1,0
