id,role_0,role_1,role_2,role_3
8087,168,34498,11337,2691
55833,25,5721,265,35
6777,80,12989,2765,395
79892,40,9375,679,101
51379,18,3079,131,22
81704,39,4397,693,48
27254,3,1287,3,0
3868,99,18279,4352,499
3889,39,7863,579,162
10884,106,6407,2238,3327
84311,109,8285,2560,3326
249,7,2608,16,5
51474,202,34626,17146,3155
525,97,6375,4513,143
3329,377,69636,61305,9571
6613,258,33177,31748,1405
84842,14,820,90,1
7314,256,45243,30616,2024
29966,80,12446,2668,492
170082,116,18065,6410,260
10870,10,2469,35,10
79465,9,553,34,2
1031,48,7056,1079,49
51129,13,3426,61,17
57379,64,11605,1858,158
5223,54,10333,1214,217
71,185,32549,15583,1437
93661,2,451,0,1
20403,21,2883,160,50
1622,25,2325,289,11
10970,83,22427,3203,200
7430,174,27225,14063,988
57716,9,1956,25,11
3032,103,22591,4735,518
79180,32,8924,401,95
202051,31,6648,399,66
386675,290,17036,40012,1893
10716,4,555,5,1
9641,390,50668,72379,3476
1287,35,7286,550,45
22918,26,2681,311,14
3915,35,7835,545,50
3912,39,7377,699,42
6262,31,5675,400,65
5500,253,33311,29213,2665
580,280,38523,36993,2067
4436,130,22901,7460,925
2617,97,15138,4225,431
7511,71,11946,2280,205
4172,128,27228,7241,887
7415,608,77572,176326,8202
25839,27,6109,280,71
5152,56,7164,1425,115
8270,62,8832,1808,83
27339,272,42155,23449,13407
84687,56,10424,1326,214
5499,354,48409,59110,3371
7525,154,21295,11206,575
51134,22,3272,223,8
90525,2,140,1,0
1741,86,8377,3504,151
8914,30,4173,396,39
5111,388,52368,68733,6345
64960,168,22897,7445,6583
51253,115,14994,3198,3357
4088,415,46324,82491,3414
4774,45,10815,801,189
5048,72,11095,2332,224
10939,55,12447,1294,191
54477,83,13067,3273,130
27346,16,5529,113,7
55379,149,36235,7155,3871
10933,130,21795,7619,766
3837,338,55434,50877,6076
10905,11,1046,45,10
11253,8,897,21,7
51747,179,28816,6299,9632
6628,315,38103,36125,13330
50628,271,41094,26102,10483
9820,647,82552,193741,15240
871,91,21613,3745,350
229841,83,8049,3287,116
116447,12,2748,65,1
8290,252,28867,29601,2025
5335,279,27228,36626,2155
5921,95,15696,3949,516
85302,235,26896,23793,3702
84254,31,8101,421,44
5562,179,25116,15259,672
