,id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10
15416,844304,48,0,0,0,0,1,0,0,0,0,0
15417,19344,510,135,0,1081,3,25,7,2,0,0,0
15418,1617,111,7,0,90,0,2,2,0,0,0,0
15419,2331,712,22,0,192,1,7,1,0,0,0,0
15420,84691,179,1,0,217,0,1,0,0,0,0,0
15421,3004,142,1,0,77,0,6,0,0,0,0,0
15422,328572,518,14,0,185,0,9,0,0,0,0,0
15423,6586,9,0,0,11,0,1,0,0,0,0,0
15424,51239,131,3,0,2512,0,3,4,0,0,0,0
15425,618164,6,0,0,0,0,0,0,0,0,0,0
15426,7140,165,22,0,157,7,0,0,0,0,0,0
15427,100125989,2,0,0,2,0,0,0,0,0,0,0
15428,226407,203,62,0,38,1,4,0,0,0,0,0
15429,144699,186,3,0,778,0,4,4,0,0,0,0
15430,233871,14,0,0,9,0,0,0,0,0,0,0
15431,83943,58,0,0,3,0,0,0,0,0,0,0
15432,6247,46,1,0,397,0,2,0,0,0,0,0
15433,16195,14,0,0,261,0,1,0,0,0,0,0
15434,852042,191,0,0,375,0,3,0,0,0,0,0
15435,7850,19,2,0,11,0,0,0,0,0,0,0
15436,414927,705,148,10,705,9,23,4,2,2,0,0
15437,856656,132,0,0,1360,0,2,0,0,0,0,0
15438,6489,330,74,0,160,0,9,0,0,0,0,0
15439,11040,934,374,1,792,12,219,35,2,0,1,0
15440,23228,98,0,0,1,0,4,0,0,0,0,0
15441,27130,324,14,0,110,0,3,1,0,0,0,0
15442,114905,39,0,0,0,0,0,0,0,0,0,0
15443,57551,4805,959,16,8731,13,138,88,1,1,1,0
15444,850715,152,0,0,865,0,4,0,0,0,0,0
15445,6336,132,0,0,325,0,2,0,0,0,0,0
15446,56718,121,0,0,30,0,1,0,0,0,0,0
15447,22880,2844,1512,7,3274,41,56,2,2,0,0,0
15448,90843,177,4,0,1894,0,8,1,0,0,0,0
15449,55335,27,0,0,0,0,2,0,0,0,0,0
15450,134860,1,0,0,0,0,0,0,0,0,0,0
15451,286133,4034,88,0,3026,0,147,0,0,0,0,0
15452,25946,415,3,0,1409,0,6,2,0,0,0,0
15453,222643,1527,484,0,1074,0,38,2,0,0,0,0
15454,1472,524,394,2,653,50,12,0,0,0,0,0
15455,90025,371,46,0,228,2,2,0,0,0,0,0
15456,388339,26,0,0,8,0,2,0,0,0,0,0
15457,227446,13,0,0,26,0,0,0,0,0,0,0
15458,11736,84,0,0,0,0,0,0,0,0,0,0
15459,84892,472,92,0,1358,2,11,1,0,0,0,0
15460,283807,94,2,0,68,0,1,0,0,0,0,0
15461,2938,229,13,0,158,0,5,1,0,0,0,0
15462,21847,140,0,0,1407,0,1,0,0,0,0,0
15463,10660,9,0,0,0,0,1,0,0,0,0,0
15464,79434,52,0,0,97,0,0,0,0,0,0,0
15465,19376,91,0,0,202,0,0,1,0,0,0,0
15466,55282,12,0,0,32,0,0,0,0,0,0,0
15467,203197,63,0,0,215,0,0,0,0,0,0,0
15468,417950,826,3,0,1296,0,30,0,0,0,0,0
15469,285025,44,0,0,113,0,2,0,0,0,0,0
15470,25122,137,0,0,1375,0,3,0,0,0,0,0
15471,81771,180,0,0,25,0,3,0,0,0,0,0
15472,114836,55,3,0,137,0,1,0,0,1,0,0
15473,25789,36,4,0,38,0,0,0,0,0,0,0
15474,19165,9,0,0,0,0,0,0,0,0,0,0
15475,23266,176,3,0,302,0,2,0,0,0,0,0
15476,3347,25,1,0,16,0,0,0,0,0,0,0
15477,67068,335,46,0,257,0,6,0,0,0,0,0
15478,65134,36,0,0,32,0,0,0,0,0,0,0
15479,856846,160,0,0,1388,0,3,0,0,0,0,0
15480,56456,24,0,0,0,0,0,0,0,0,0,0
15481,51661,5004,1582,18,2841,103,183,404,28,27,2,2
15482,767558,14,0,0,14,0,0,0,0,0,0,0
15483,56910,138,11,0,47,0,2,17,0,0,0,0
15484,2939,26,4,0,5,0,0,0,0,0,0,0
15485,54503,26,1,0,36,0,0,0,0,0,0,0
15486,5638,324,4,0,1065,0,3,0,0,0,0,0
15487,18393,296,67,0,141,1,20,19,1,1,1,0
